,id,vote_average
0,206559,5.6
1,249010,6.0
2,256121,7.2
3,257064,6.4
4,257048,8.111
5,235484,7.7
6,233912,7.0
7,13008,4.813
8,261121,6.3
9,235493,7.0
10,262969,6.2
11,262831,9.5
12,72879,6.3
13,237478,5.2
14,36361,4.6
15,273042,0.0
16,273911,3.0
17,112470,6.8
18,81329,6.836
19,276465,2.0
20,273825,7.643
21,247885,7.7
22,248890,4.5
23,911,6.63
24,61818,5.4
25,2527,4.1
26,82708,4.8
27,243512,8.3
28,242722,6.9
29,51096,8.7
30,239526,6.2
31,13945,5.9
32,45789,6.0
33,12409,6.4
34,212907,7.512
35,210865,8.438
36,236994,8.2
37,91759,5.35
38,119316,7.357
39,2912,6.8
40,280113,7.0
41,62022,5.3
42,275474,6.0
43,119316,7.357
44,40229,3.0
45,21502,6.5
46,63452,7.6
47,59022,6.4
48,8514,7.479
49,106168,9.0
50,1900,5.488
51,34634,7.0
52,252373,6.4
53,8872,6.8
54,61780,8.5
55,243117,5.7
56,61511,7.5
57,86714,4.5
58,881,6.0
59,259172,8.0
60,86714,4.5
61,259172,8.0
62,1220,7.2
63,62974,7.2
64,70923,8.2
65,240448,7.5
66,234337,6.0
67,278899,0.0
68,25778,6.2
69,261791,0.0
70,210879,8.3
71,14506,5.3
72,14610,4.8
73,259524,0.0
74,85231,10.0
75,220542,8.808
76,242099,6.7
77,987,5.7
78,262364,0.0
79,262871,0.0
80,2051,6.1
81,66502,5.7
82,220150,8.836
83,72184,6.0
84,257790,0.0
85,136166,5.1
86,243083,9.0
87,1054,6.8
88,215092,7.3
89,240605,7.0
90,123542,8.2
91,214461,7.0
92,157004,7.2
93,260716,1.0
94,103960,6.0
95,197906,7.2
96,158630,0.0
97,207468,8.575
98,238680,8.0
99,194916,8.3
100,238680,8.0
101,194916,8.3
102,229192,9.7
103,226688,7.7
104,4775,7.67
105,201478,6.7
106,215307,8.3
107,121290,3.8
108,210708,9.0
109,153870,7.5
110,233100,10.0
111,274634,7.5
112,19996,4.7
113,137640,6.0
114,38409,6.2
115,114439,4.9
116,203616,6.7
117,135137,1.0
118,239962,7.0
119,98665,8.5
120,242476,4.5
121,766,5.5
122,30810,6.6
123,240125,6.0
124,278913,0.0
125,1549,7.4
126,78743,10.0
127,258228,0.0
128,279257,0.0
129,9307,7.0
130,279366,0.0
131,20090,6.5
132,235893,0.0
133,114885,6.389
134,279103,0.0
135,114899,5.0
136,217472,8.5
137,252649,9.7
138,240992,7.2
139,155660,8.0
140,270723,6.0
141,255548,5.7
142,260822,0.0
143,1265,7.4
144,5467,3.0
145,249964,0.0
146,205594,8.8
147,280104,7.0
148,76300,7.6
149,114193,6.667
150,221905,7.4
151,81492,6.0
152,251647,0.0
153,256725,0.0
154,201836,7.8
155,258680,0.0
156,212333,8.0
157,107116,7.2
158,62247,6.6
159,278887,8.0
160,107116,7.2
161,62247,6.6
162,241279,0.0
163,278887,8.0
164,279412,0.0
165,106793,3.0
166,88639,9.0
167,258963,0.0
168,217440,8.0
169,242682,0.0
170,217745,6.3
171,228669,5.7
172,63367,7.3
173,259844,0.0
174,256104,9.0
175,253896,6.2
176,249031,0.0
177,104610,1.0
178,280426,0.0
179,253030,0.0
180,280426,0.0
181,206386,7.1
182,238738,0.0
183,202304,6.8
184,204646,7.7
185,276255,0.0
186,115528,7.0
187,71761,7.6
188,236370,9.1
189,242279,7.0
190,270855,7.0
191,201857,6.5
192,280749,0.0
193,116785,6.0
194,254645,0.0
195,85113,0.0
196,261459,6.5
197,277404,0.0
198,236572,4.9
199,277353,0.0
200,277353,0.0
201,271971,0.0
202,225034,0.0
203,51035,7.5
204,273970,0.0
205,8630,5.9
206,275223,8.0
207,97193,10.0
208,249761,0.0
209,250394,0.0
210,278937,0.0
211,280180,0.0
212,197220,4.0
213,278330,0.0
214,278925,0.0
215,11436,4.16
216,280774,0.0
217,277662,9.0
218,259653,0.0
219,280853,0.0
220,250830,0.0
221,240300,0.0
222,279958,0.0
223,280184,0.0
224,258034,4.0
225,278952,0.0
226,55282,6.5
227,208782,6.0
228,273520,0.0
229,245527,7.0
230,279414,0.0
231,279996,1.0
232,277849,0.0
233,270643,0.0
234,72908,3.55
235,279425,0.0
236,279117,0.0
237,279342,0.0
238,235768,0.0
239,279043,7.0
240,279342,0.0
241,235768,0.0
242,279043,7.0
243,279362,0.0
244,258241,0.0
245,280169,0.0
246,276379,0.0
247,277908,0.0
248,278311,0.0
249,278205,0.0
250,280006,0.0
251,278957,0.0
252,280645,0.0
253,276359,0.0
254,279632,0.0
255,280962,0.0
256,127868,0.0
257,13932,8.2
258,279849,0.0
259,278969,0.0
260,242599,10.0
261,259599,0.0
262,281024,0.0
263,280983,10.0
264,248248,0.0
265,279956,8.0
266,279438,0.0
267,281098,0.0
268,278409,0.0
269,278324,0.0
270,281157,0.0
271,281149,9.0
272,281142,0.0
273,281054,0.0
274,281323,0.0
275,281239,0.0
276,277488,0.0
277,278474,10.0
278,276079,0.0
279,274465,0.0
280,206559,5.6
281,249010,6.0
282,256121,7.2
283,257064,6.4
284,257048,8.111
285,235484,7.7
286,233912,7.0
287,13008,4.813
288,261121,6.3
289,235493,7.0
290,262969,6.2
291,262831,9.5
292,72879,6.3
293,237478,5.2
294,36361,4.6
295,273042,0.0
296,273911,3.0
297,112470,6.8
298,81329,6.836
299,276465,2.0
300,273825,7.643
301,247885,7.7
302,248890,4.5
303,911,6.63
304,61818,5.4
305,2527,4.1
306,82708,4.8
307,243512,8.3
308,242722,6.9
309,51096,8.7
310,239526,6.2
311,13945,5.9
312,45789,6.0
313,12409,6.4
314,212907,7.512
315,210865,8.438
316,236994,8.2
317,91759,5.35
318,119316,7.357
319,2912,6.8
320,280113,7.0
321,62022,5.3
